id;libelle
1;Afourar
2;Agadir
3;Aghbala
4;Aghbalou
5;Agdz
6;Agouraï
7;Aguelmous
8;Ahfir
9;Aïn Leuh
10;Aïn Bni Mathar
11;Ain Cheggag
12;Aïn Dorij
13;Aïn El Aouda
14;Aïn Erreggada
15;Aïn Harrouda
16;Aïn Jemaa
17;Aïn Karma
18;Aïn Taoujdate
19;Aït Iaaza
20;Aït Baha
21;Aït Boubidmane
22;Aït Daoud
23;Aït Ishaq
24;Aït Melloul
25;Aït Ourir
26;Akka
27;Aklim
28;Aknoul
29;Ajdir
30;Al Aaroui
31;Al Hoceïma
32;Alnif
33;Amalou Ighriben
34;Amizmiz
35;Aoufous
36;Aoulouz
37;Aourir
38;Arbaoua
39;Arfoud
40;Assa
41;Assahrij
42;Assilah
43;Azemmour
44;Azilal
45;Azrou
46;Beni Mellal
47;Boujdour
48;Boulemane
49;Boulemane Dadès
50;Bab Berred
51;Bab Taza
52;Bejaad
53;Ben Ahmed
54;Ben Guerir
55;Ben Taïeb
56;Ben Yakhlef
57;Ben Slimane
58;Berkane
59;Berrechid
60;Bhalil
61;Biougra
62;Bni Ansar
63;Bni Bouayach
64;Bni Chiker
65;Bni Drar
66;Bni Hadifa
67;Bni Tadjite
68;Bouanane
69;Bouarfa
70;Boudnib
71;Bouguedra
72;Bouhdila
73;Bouizakarne
74;Boujniba
75;Boulanouare
76;Boumalne Dadès
77;Boumia
78;Bouskoura
79;Bouznika
80;Bouzthate
81;Bradia
82;Brikcha
83;Bzou
84;Casablanca
85;Chefchaouen
86;Chichaoua
87;Dar Bni Karrich
88;Dar Chaoui
89;Dar El Kebdani
90;Dar Gueddari
91;Dar Ould Zidouh
92;Dcheïra El Jihadia
93;Debdou
94;Demnate
95;Deroua
96;Drargua
97;Driouch
98;El Jadida
99;Essaouira
100;Echemmaia
101;El Aïoun Sidi Mellouk
102;El Borouj
103;El Gara
104;El Hajeb
105;El Hanchane
106;El Kbab
107;El Kelaa des Mgouna
108;El Kelaa des Sraghna
109;El Ksiba
110;El Mansouria
111;El Marsa
112;El Menzel
113;El Ouatia
115;Errachidia
116;Er-Rich
118;Fam El Hisn
119;Farkhana
120;Fès
121;Figuig
122;Fnideq
123;Foum Jamaa
124;Foum Zguid
125;Fquih Ben Salah
126;Guercif
127;Ghafsaï
128;Ghmate
129;Goulmima
130;Gourrama
131;Guelmim
132;Gueznaïa
133;Guigou
134;Guisser
135;Had Bouhssoussen
136;Had Kourt
137;Had Oued Ifrane
138;Haj Kaddour
139;Hattane
140;Houara
141;Inezgane
142;Ifrane
143;Ighoud
144;Ihddaden
145;Imintanoute
146;Imouzzer Kandar
147;Imouzzer Marmoucha
148;Imzouren
149;Irherm
150;Issaguen
151;Itzer
152;Jebha
153;Jaadar
154;Jamaat Shaim
155;Jerada
156;Jorf
157;Jorf El Melha
158;Kalaat M'Gouna
159;Khenifra
160;Kari El Jadida
161;Karia Tétouan
162;Karia Ba Mohamed
163;Kariat Arekmane
164;Kasba Tadla
165;Kassita
166;Kattara
167;Kehf Nsour
168;Kénitra
169;Kerouna
